date,week_label,theme,fiedler,n_stocks,n_edges,mean_correlation,is_connected
2025-01-08,2025-01-08,3D 프린터,1.6865368133080447,10,24,0.2908299052378897,True
2025-01-08,2025-01-08,증강현실(AR),4.929731934855512,23,203,0.42288667801455343,True
2025-01-08,2025-01-08,아프리카 돼지열병(ASF),1.9828840215297485,33,414,0.40006041059805403,True
2025-01-08,2025-01-08,제대혈,0.7639320225002102,6,7,0.267142835468707,True
2025-01-08,2025-01-08,지역화폐,1.0000000000000009,5,7,0.2310813275703148,True
2025-01-08,2025-01-08,태풍 및 장마,0.9385206691620924,11,35,0.3450291934611316,True
2025-01-08,2025-01-08,남북경협,4.179944259953464,28,221,0.2742458907114483,True
2025-01-08,2025-01-08,그래핀,0.0,13,60,0.39864799341614804,False
2025-01-08,2025-01-08,핵융합에너지,0.6725107871830208,9,22,0.2974286506800686,True
2025-01-08,2025-01-08,NI(네트워크통합),0.0,7,10,0.2171344215885721,False
2025-01-08,2025-01-08,백화점,1.8850924585232456,7,14,0.36799639061476913,True
2025-01-08,2025-01-08,육계,4.999999999999998,9,33,0.5101697052786599,True
2025-01-08,2025-01-08,테마파크,1.43844718719117,6,9,0.179378846146743,True
2025-01-08,2025-01-08,LED장비,5.6277186767309875,12,57,0.41160591663296564,True
2025-01-08,2025-01-08,제지,0.0,14,34,0.1527053564364682,False
2025-01-08,2025-01-08,터치패널(스마트폰/태블릿PC 등),0.0,10,22,,False
2025-01-08,2025-01-08,원격진료/비대면진료(U-Healthcare),0.0,24,219,,False
2025-01-08,2025-01-08,치아 치료(임플란트 등),0.0,14,59,0.35599621986532703,False
2025-01-08,2025-01-08,mRNA(메신저 리보핵산),0.0,16,81,0.3359846122259428,False
2025-01-08,2025-01-08,MLCC(적층세라믹콘덴서),3.963693706565714,11,46,0.4651043210241104,True
2025-01-08,2025-01-08,뉴로모픽 반도체,0.0,7,12,0.3236339663429315,False
2025-01-08,2025-01-08,의료AI,5.8317668927381785,29,333,0.4171799581377388,True
2025-01-08,2025-01-08,모더나(MODERNA),0.0,6,8,0.2814285325517016,False
2025-01-08,2025-01-08,DMZ 평화공원,0.0,19,50,0.14159961378024308,False
2025-01-08,2025-01-08,전자파,4.696532699457247,13,58,0.34858777993897644,True
2025-01-08,2025-01-08,골판지 제조,0.0,12,25,0.1700762589896661,False
2025-01-08,2025-01-08,"구충제(펜벤다졸, 이버멕틴 등)",2.6364628252308844,11,39,0.3970844426788135,True
2025-01-08,2025-01-08,토스(toss),0.0,7,11,0.22637730117735014,False
2025-01-08,2025-01-08,보톡스(보툴리눔톡신),0.970593282190265,14,59,0.30811488744225474,True
2025-01-08,2025-01-08,미용기기,0.0,19,130,0.37204130859801027,False
2025-01-08,2025-01-08,원자력발전소 해체,1.9552450191962665,16,74,0.35786691108704183,True
2025-01-08,2025-01-08,화이자(PFIZER),2.999999999999998,6,13,0.40690287742422204,True
2025-01-08,2025-01-08,화학섬유,0.9111810902755816,10,19,0.1850238803982839,True
2025-01-08,2025-01-08,생명보험,0.0,7,13,0.2887220301325607,False
2025-01-08,2025-01-08,바이오인식(생체인식),0.7342655900534041,20,106,0.26179909254922856,True
2025-01-08,2025-01-08,탈 플라스틱(친환경/생분해성 등),2.8180566639476066,8,21,0.34392095259327904,True
2025-01-08,2025-01-08,피팅(관이음쇠)/밸브,1.965958164196509,9,29,0.36489955789727957,True
2025-01-08,2025-01-08,렌터카,0.0,4,1,0.07061175517744706,False
2025-01-08,2025-01-08,낙태/피임,2.0,4,5,0.5113684628011695,True
2025-01-08,2025-01-08,보안주(물리),0.0,20,87,0.22592969947324176,False
2025-01-08,2025-01-08,CCTV＆DVR,0.0,9,11,0.1425946180575607,False
2025-01-08,2025-01-08,자전거,4.0,4,6,0.5158990069733883,True
2025-01-08,2025-01-08,전기자전거,0.9999999999999999,6,10,0.33999811642204186,True
2025-01-08,2025-01-08,4대강 복원,0.9999999999999999,7,12,0.35384621588105425,True
2025-01-08,2025-01-08,폐기물처리,5.0,5,10,0.5259975969167376,True
2025-01-08,2025-01-08,유심(USIM),1.6972243622680054,6,10,0.2956772624110913,True
2025-01-15,2025-01-15,반도체 재료/부품,0.0,68,1711,,False
2025-01-15,2025-01-15,냉각시스템(액침냉각 등),7.347880067582426,13,68,0.42149348568077727,True
2025-01-15,2025-01-15,여름,0.0,30,271,0.3215135095353212,False
2025-01-15,2025-01-15,밸류업(24년 기업가치 제고계획 발표),6.862381911876197,101,3042,0.2890863174947959,True
2025-01-15,2025-01-15,지주사,33.38385190926663,155,6383,0.19535211038683023,True
2025-01-15,2025-01-15,항공/저가 항공사(LCC),5.829913513373967,10,41,0.4626725671276222,True
2025-01-15,2025-01-15,페인트,4.585786437626907,8,25,0.44843886726197474,True
2025-01-15,2025-01-15,OLED(유기 발광 다이오드),0.0,88,2535,,False
2025-01-15,2025-01-15,맥신(MXene),0.0,11,36,,False
2025-01-15,2025-01-15,반도체 장비,3.9811776979093336,97,3550,0.39755043389403,True
2025-01-15,2025-01-15,플렉서블 디스플레이,1.2709845035502065,27,210,0.3091808450994742,True
2025-01-15,2025-01-15,통신장비,0.0,48,585,,False
2025-01-15,2025-01-15,우주항공산업(누리호/인공위성 등),2.857869491406862,30,308,0.3494704444821181,True
2025-01-15,2025-01-15,밸류업(25년 기업가치 제고계획 발표),1.987586598324148,79,1593,0.25786898147859544,True
2025-01-15,2025-01-15,코리아 밸류업 지수(Korea Value-up Index),7.136684527506646,118,3318,0.24015439571338537,True
2025-01-15,2025-01-15,소매유통,1.9455065840546422,24,193,0.3431683477129779,True
2025-01-15,2025-01-15,편의점,0.0,7,12,0.2576794667079251,False
2025-01-15,2025-01-15,자동차부품,6.940226934525833,158,7844,0.31468820414261406,True
2025-01-15,2025-01-15,은행,1.999999999999996,11,47,0.511137524940855,True
2025-01-15,2025-01-15,日제품 불매운동(수혜),0.9038742981156838,21,91,0.23195863257809105,True
2025-01-15,2025-01-15,패션/의류,0.7644159003282286,63,921,0.22999263198645584,True
2025-01-15,2025-01-15,슈퍼박테리아,1.0000000000000013,10,32,0.3699206178202761,True
2025-01-15,2025-01-15,유전자 치료제/분석,1.6755113368242702,42,465,0.2848497220056864,True
2025-01-15,2025-01-15,면역항암제,0.9811940040944482,33,353,0.36327461637520314,True
2025-01-15,2025-01-15,사료,9.966888419992593,22,208,0.4788220781445336,True
2025-01-15,2025-01-15,김밥(냉동김밥 등),2.9999999999999982,7,18,0.41702666439593516,True
2025-01-15,2025-01-15,홈쇼핑,0.0,8,13,0.2526752488693749,False
2025-01-15,2025-01-15,음식료업종,8.782514853294987,70,1545,0.31522109852150465,True
2025-01-15,2025-01-15,환율하락 수혜,1.9566562825611242,24,185,0.34379028742855966,True
2025-01-15,2025-01-15,음원/음반,3.4597953174184095,17,88,0.31781096247261487,True
2025-01-15,2025-01-15,수산,2.951012323081894,11,45,0.340946180166936,True
2025-01-15,2025-01-15,엔터테인먼트,0.0,33,267,,False
2025-01-15,2025-01-15,메타버스(Metaverse),0.0,54,824,0.2816014472890726,False
2025-01-15,2025-01-15,영상콘텐츠,0.0,37,443,,False
2025-01-15,2025-01-15,코로나19(진단/치료제/백신 개발 등),0.0,81,1966,,False
2025-01-15,2025-01-15,구제역/광우병 수혜,9.923154422507597,22,210,0.45141679858617634,True
2025-01-15,2025-01-15,미디어(방송/신문),0.0,13,28,0.1439083985374988,False
2025-01-15,2025-01-15,영화,6.898939817801759,14,80,0.4230334584709509,True
2025-01-15,2025-01-15,마이크로바이옴,0.9930007024772265,21,157,0.38238211913252446,True
2025-01-15,2025-01-15,코로나19(진단키트),0.0,46,638,,False
2025-01-15,2025-01-15,종합 물류,0.785807319144877,18,83,0.28642187406044783,True
2025-01-15,2025-01-15,제약업체,0.0,95,3341,0.3976040790043183,False
2025-01-15,2025-01-15,화장품,12.251768581551095,100,2174,0.1821911018662087,True
2025-01-15,2025-01-15,수자원(양적/질적 개선),1.8423609362345978,32,241,0.21935584694300575,True
2025-01-15,2025-01-15,스마트홈(홈네트워크),0.8837319866017095,27,122,0.18671438150790529,True
2025-01-15,2025-01-15,스마트그리드(지능형전력망),3.7842519312405485,22,142,0.2812086326307582,True
