theme,abnormality,fiedler_today,fiedler_baseline,fiedler_change,pct_change,num_stocks,stock_list
조선,LARGE_DECREASE,0.9410059080000535,2.9429717256965766,-2.001965817696523,-68.02531605099517,9,"HD한국조선해양, HD현대, HD현대미포, HD현대중공업, HJ중공업, 동일스틸럭스, 삼성중공업, 한화, 한화오션"
전력저장장치(ESS),LARGE_DECREASE,2.684594198227184,27.210998627971534,-24.52640442974435,-90.13415775388869,53,"HD현대, HD현대에너지솔루션, HD현대일렉트릭, LG, LG에너지솔루션, LG전자, LS, LS ELECTRIC, SK, SK이노베이션"
건설기계,LARGE_DECREASE,0.9397147586602261,11.33068066701242,-10.390965908352193,-91.7064580118645,23,"HD현대, HD현대건설기계, HD현대인프라코어, 대동, 대동금속, 대모, 대창, 대창단조, 동일금속, 두산"
우크라이나 재건,LARGE_DECREASE,0.801866905471516,19.25900153472937,-18.457134629257855,-95.83640458190148,41,"HD현대, HD현대건설기계, HD현대인프라코어, SG, TYM, 누보, 다산네트웍스, 다스코, 대동, 대동금속"
전력설비,"LARGE_DECREASE, DISCONNECTION",0.0,15.432215566581018,-15.432215566581018,-100.0,35,"HD현대, HD현대일렉트릭, LS, LS ELECTRIC, LS마린솔루션, LS에코에너지, 가온전선, 광명전기, 금화피에스시, 대원"
조선기자재,LARGE_DECREASE,0.7135509495497071,19.01240029001948,-18.298849340469776,-96.24691812361912,36,"HD현대, HD현대마린솔루션, HD현대마린엔진, KS인더스트리, SK, SK오션플랜트, STX엔진, 대양전기공업, 대창, 대창솔루션"
엠폭스(원숭이두창),"LARGE_DECREASE, DISCONNECTION",0.0,9.381637259972797,-9.381637259972797,-100.0,20,"HK이노엔, 녹십자, 녹십자엠에스, 녹십자홀딩스, 더바이오메드, 랩지노믹스, 바디텍메드, 바이오노트, 바이오니아, 빌리언스"
건설 중소형,"LARGE_DECREASE, DISCONNECTION",0.0,15.0699045168634,-15.0699045168634,-100.0,32,"HL D&I, HS화성, KCC, KCC건설, KD, SG, SGC E&C, 계룡건설, 금호건설, 까뮤이앤씨"
줄기세포,"LARGE_DECREASE, DISCONNECTION",0.0,9.284575106883478,-9.284575106883478,-100.0,21,"HLB, HLB생명과학, 강스템바이오텍, 네이처셀, 동구바이오제약, 마크로젠, 메디포스트, 메타케어, 바이오솔루션, 안트로젠"
고령화 사회(노인복지),LARGE_DECREASE,0.7716833521050731,24.80869602275281,-24.037012670647737,-96.88946427737541,43,"HLB, HLB제약, JW중외제약, LG, LG화학, 나노, 나노엔텍, 녹십자, 녹십자홀딩스, 대원"
의료기기,LARGE_DECREASE,1.785761750000186,49.32991195809948,-47.544150208099296,-96.37996161128972,88,"HLB, HLB생명과학, 나노, 나노엔텍, 네오펙트, 대원, 대원제약, 더바이오메드, 더블유에스아이, 덴티움"
치매,LARGE_DECREASE,0.9656537440180386,28.913997745687094,-27.948344001669057,-96.6602551729047,55,"HLB, HLB제약, SK, SK케미칼, 고려제약, 국전약품, 네이처셀, 대웅, 대웅제약, 대화제약"
마리화나(대마),"LARGE_DECREASE, DISCONNECTION",0.0,4.318212187855971,-4.318212187855971,-100.0,11,"HLB, HLB바이오스텝, 비엘팜텍, 씨티씨바이오, 애머릿지, 엔에프씨, 오성첨단소재, 우리바이오, 인벤티지랩, 한국비엔씨"
리비안(RIVIAN),"LARGE_DECREASE, DISCONNECTION",6.658681192250816e-17,13.721624154423646,-13.721624154423646,-100.0,24,"HL만도, TCC스틸, 남성, 대원, 대원화성, 대유에이텍, 동국알앤에스, 디와이, 모베이스, 모베이스전자"
전기차,LARGE_DECREASE,1.9623511084170546,63.95177988462586,-61.989428776208804,-96.93151447550437,115,"HL만도, KEC, KG모빌리티, LG, LG에너지솔루션, LG전자, LG화학, LS, LS ELECTRIC, LS머트리얼즈"
자동차 대표주,"LARGE_DECREASE, DISCONNECTION",0.0,1.0000000000000004,-1.0000000000000004,-100.0,9,"HL만도, KG모빌리티, 기아, 대모, 모비스, 한온시스템, 현대모비스, 현대위아, 현대차"
해운,LARGE_DECREASE,3.9999999999999996,6.0,-2.0000000000000004,-33.33333333333334,6,"HMM, KSS해운, STX그린로지스, 대한해운, 팬오션, 흥아해운"
온디바이스 AI,"LARGE_DECREASE, DISCONNECTION",0.0,13.148863240337375,-13.148863240337375,-100.0,27,"HPSP, SK, SK하이닉스, 가온칩스, 네패스, 네패스아크, 대덕, 대덕전자, 디바이스, 리노공업"
타이어,LARGE_DECREASE,0.9345351637275336,6.184351163596324,-5.24981599986879,-84.88871121632616,13,"HS효성, HS효성첨단소재, 금호석유화학, 금호타이어, 넥센, 넥센타이어, 다이나믹디자인, 코오롱, 코오롱인더, 한국앤컴퍼니"
도시가스,LARGE_DECREASE,2.9999999999999973,4.585786437626905,-1.5857864376269077,-34.58046856729628,9,"INVENI, 경동도시가스, 대성에너지, 대성홀딩스, 삼천리, 서울가스, 인천도시가스, 지에스이, 한국가스공사"
겨울,"LARGE_DECREASE, DISCONNECTION",0.0,10.493079809207453,-10.493079809207453,-100.0,22,"INVENI, SPC삼립, 경동나비엔, 경동도시가스, 골프존, 광동제약, 녹십자, 대성에너지, 대성홀딩스, 동화약품"
