tickers,market,name,naverTheme,-1,0,1,mmt
680,KOSPI,LS네트웍스,['패션/의류'],0.003,0.406,0.591,dn/dnk
60370,KOSDAQ,LS마린솔루션,"['풍력에너지', '5G(5세대 이동통신)', '통신장비', '재난/안전(지진/화재 등)', '전선', '전력설비', '해저터널(지하화/지하도로 등)']",0.0,0.0,0.999,dn/dnk
417200,KOSDAQ,LS머트리얼즈,"['풍력에너지', '전기차', '고체산화물 연료전지(SOFC)']",,,,dn/dnk
229640,KOSPI,LS에코에너지,"['희귀금속(희토류 등)', '풍력에너지', '5G(5세대 이동통신)', '지주사', '네옴시티', '전선', '전력설비']",0.0,0.002,0.997,dn/dnk
78020,KOSDAQ,LS증권,['증권'],0.004,0.147,0.849,dn/dnk
322180,KOSDAQ,LS티라유텍,"['로봇(산업용/협동로봇 등)', '스마트팩토리(스마트공장)']",,,,
108320,KOSPI,LX세미콘,"['아이폰', '시스템반도체', 'OLED(유기 발광 다이오드)']",0.0,0.0,1.0,dn/dnk
1120,KOSPI,LX인터내셔널,"['종합상사', '자원개발', '니켈']",0.0,0.065,0.935,dn/dnk
108670,KOSPI,LX하우시스,"['자동차부품', '리모델링/인테리어']",0.798,0.199,0.002,dn/dnk
383800,KOSPI,LX홀딩스,['지주사'],,,,dn/dnk
476080,KOSDAQ,M83,"['딥페이크(deepfake)', '영상콘텐츠']",,,,
86960,KOSDAQ,MDS테크,"['스마트팩토리(스마트공장)', '4차산업 수혜주', '자율주행차', '모바일솔루션(스마트폰)', '스마트카(SMART CAR)']",0.031,0.627,0.342,dn/dnk
23150,KOSPI,MH에탄올,"['주류업(주정, 에탄올 등)']",0.723,0.255,0.022,dn/dnk
